Local Authority,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,Phone,Principal Name,Ethos/Religion,School Gender - Post Primary,Irish Classification - Post Primary,Female Enrolment,Male Enrolment,Total Enrolment
Limerick City Council,91446G,St Endas Community School,Kilmallock Rd,Limerick,,,061419222,MS. GINA MARY O'CONNOR,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,49,78,127
Limerick County Council,64020P,Árd Scoil Mhuire FCJ,Bruff,Co Limerick,,,061382349,Mr. Michael Clifford,CATHOLIC,Mixed,No subjects taught through Irish,18,23,41
Limerick County Council,64040V,St Fintan's C.B.S,Doon,Co Limerick,,,061380388,MR. EDMOND BOURKE,CATHOLIC,Boys,No subjects taught through Irish,,294,294
Limerick County Council,64050B,St Joseph's Secondary School,Doon,Co Limerick,,,061380378,MR. JOHN KINSELLA,CATHOLIC,Girls,No subjects taught through Irish,333,,333
Limerick County Council,64130W,Scoil Pól,Kilfinane,Co. Limerick,,,06391197,MR. MICHAEL O'HARA,CATHOLIC,Mixed,No subjects taught through Irish,86,95,181
Limerick County Council,64150F,Glenstal Abbey School,Murroe,Co Limerick,,,061386099,REV. MARK HEDERMAN,CATHOLIC,Boys,No subjects taught through Irish,,182,182
Limerick County Council,64170L,Scoil Mhuire & Íde,Newcastle West,Co Limerick,,,06962443,MISS JULIA MARIE MAHONEY,CATHOLIC,Mixed,No subjects taught through Irish,217,163,380
Limerick County Council,64180O,Salesian Secondary College,Pallaskenry,Co Limerick,,,061393105,MR. PATRICK J. O'NEILL,CATHOLIC,Mixed,No subjects taught through Irish,247,255,502
Limerick County Council,71700F,Colaiste Mhuire,Askeaton,Co Limerick,,,061392368,Ms. Norma O'Brien,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,257,253,510
Limerick County Council,71790J,Desmond College,Station Road,Newcastle West,Co. Limerick,,06962205,Mrs Vourneen Gavin-Barry,INTER DENOMINATIONAL,Mixed,Some pupils taught all subjects through Irish,228,283,511
Limerick County Council,71810M,Coláiste Pobail Mhichíl,Cappamore,Co Limerick,,,061381272,Michael O'Connor,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,53,37,90
Limerick County Council,71840V,Colaiste Chiarain,Croom,Co. Limerick,,,061397700,Mr Noel P. Malone,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,425,455,880
Limerick County Council,71850B,Hazelwood College,Dromcollogher,Co. Limerick,,,06383121,Brendan Burke,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,284,340,624
Limerick County Council,76061W,Colaiste na Trocaire (Mercy Community College),Rathkeale,Co. Limerick,,,06964094,Mr Kevin Cusack,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,216,210,426
Limerick County Council,76070A,Coláiste Ióasef,Kilmallock,Co. Limerick,,,06398275,Mr. Sean Twomey,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,270,224,494
Limerick County Council,76073G,Castletroy College,Newtown,Castletroy,Co Limerick,,061330785,Mr Padraig Flanagan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,515,604,1119
Limerick County Council,76093M,COLÁISTE ÍDE AGUS IOSAEF,ABBEYFEALE,CO LIMERICK,,,06830631,Jim Tierney,MULTI DENOMINATIONAL,Mixed,No subjects taught through Irish,359,348,707
Limerick County Council,91502N,John The Baptist Community School,Hospital,Co Limerick,,,061383283,MR. JAMES TWOHIG,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,426,431,857
Longford County Council,63710M,Mercy Secondary School,Ballymahon,Co Longford,,,0906432267,MISS JOSEPHINE DONOGHUE,CATHOLIC,Mixed,No subjects taught through Irish,254,247,501
Longford County Council,63730S,Cnoc Mhuire,Granard,Longford,,,0436686231,MISS MOIRA MAHON,CATHOLIC,Mixed,No subjects taught through Irish,222,220,442
Longford County Council,63750B,St. Mel's College,Longford,Co. Longford,,,0433346469,MR. DAMIAN CUNNINGHAM,CATHOLIC,Boys,No subjects taught through Irish,,504,504
Longford County Council,63760E,Meán Scoil Muire,Convent Road,Longford Town,Co. Longford,,0433346608,MR. PAUL K COSTELLO,CATHOLIC,Girls,No subjects taught through Irish,599,,599
Longford County Council,71690F,Ballymahon Vocational School,Ballymahon,Co Longford,,,0906432211,Teresa Victory,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,109,171,280
Longford County Council,71710I,Ardscoil Phadraig,Granard,Co Longford,,,0436686209,Mr Sean Lennon,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,93,92,185
Longford County Council,71720L,Lanesboro Community College,Lanesboro,Co Longford,,,0433321139,Mr Jimmy Flanagan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,114,118,232
Longford County Council,71730O,Templemichael College,Templemichael,Longford,,,0433345455,Ms Sorcha Nic Dhonnacha,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,147,155,302
Longford County Council,91436D,Moyne Community School,Moyne,Co Longford,,,0494335114,MR. DESMOND CULLEN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,276,325,601
Louth County Council,63840C,St. Joseph's C.B.S.,Newfoundwell Rd,Drogheda,Co Louth,,0419837232,MR. DAVID MADDEN,CATHOLIC,Boys,No subjects taught through Irish,,618,618
Louth County Council,63841E,St Mary's Diocesan School,Beamore Road,Drogheda,Co. Louth,,0419837581,MR. JAMES BRADY,CATHOLIC,Boys,No subjects taught through Irish,,772,772
Louth County Council,63850F,Our Ladys College,Greenhills,Drogheda,Co Louth,,0419831219,MRS. GERALDINE MULVIHILL,CATHOLIC,Girls,No subjects taught through Irish,930,,930
Louth County Council,63860I,Sacred Heart Secondary School,Sunnyside,Drogheda,Co Louth,,0419837812,MISS MARGARET M. CAFFREY,CATHOLIC,Girls,No subjects taught through Irish,575,,575
Louth County Council,63870L,Drogheda Grammar School,Mornington Rd,Drogheda,Co Louth,,0419838281,MR. RICHARD W SCHMIDT,QUAKER,Mixed,No subjects taught through Irish,86,151,237
Louth County Council,63880O,Colaiste Rís,Sraid an tSéipéil,Dún Dealgan,Co Lú,,0429334336,UAS. GERARD O H-ADHMAILL,CATHOLIC,Mixed,Some pupils taught all subjects through Irish,144,371,515
Louth County Council,63890R,St Mary's College,Dundalk,Co Louth,,,0429339977,MR. JOHN MC GINLEY,CATHOLIC,Mixed,No subjects taught through Irish,195,448,643
Louth County Council,63891T,De La Salle College,Castleblaney Road,Dundalk,Co. Louth,,0429331179,MISS PATRICIA DONOHOE,CATHOLIC,Mixed,No subjects taught through Irish,6,658,664
Louth County Council,63900R,St Vincent's Secondary School,Seatown Place,Dundalk,Co. Louth,,0429332790,MRS. DEIRDRE MATTHEWS,CATHOLIC,Girls,No subjects taught through Irish,898,,898
Louth County Council,63910U,St Louis Secondary School,Dun Lughaidh,Dundalk,Co Louth,,0429334474,MRS. SIOBHAN GREER,CATHOLIC,Girls,No subjects taught through Irish,606,,606
Louth County Council,63920A,Dundalk Grammar School,The Crescent,Dundalk,Co Louth,,0429334459,MR. CYRIL DRURY,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,211,296,507
Louth County Council,71750U,Bush Post Primary School,Riverstown,Dundalk,Co Louth,,0429376246,Ms Teresa McKevitt,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,210,256,466
Louth County Council,71760A,Drogheda Inst. of Further Education,The Twenties,Drogheda,Co. Louth,,0419837105,Mr David McDonnell,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,561,316,877
Louth County Council,71761C,St Oliver's Community College,Rathmullen Road,Drogheda,Co. Louth,,0419838515,Daniel P Toole,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,540,611,1151
Louth County Council,71770D,Ó Fiaich College,Dublin Road,Dundalk,Co. Louth,,0429331398,MR PADRAIG McGOVERN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,445,524,969
Louth County Council,71780G,Scoil Ui Mhuiri,Barn Road,Dunleer,Co. Louth,,0416851344,Brid Rocks,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,231,349,580
Louth County Council,91441T,Ardee Community School,Ardee,Co Louth,,,0416853557,MS. MARY JACKSON,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,321,347,668
Mayo County Council,64500G,Balla Secondary School,Balla,Castlebar,Co Mayo,,0949365082,MRS. MARY TERESA REANEY,CATHOLIC,Mixed,No subjects taught through Irish,126,172,298
Mayo County Council,64510J,St Muredachs College,Sligo Road,Ballina,Co Mayo,,09621298,MR. LEO G GOLDEN,CATHOLIC,Boys,No subjects taught through Irish,,401,401
Mayo County Council,64520M,St. Mary's Secondary School,Convent of Mercy,Ballina,Co Mayo,,09670333,MRS. PATSY SWEENEY,CATHOLIC,Girls,No subjects taught through Irish,615,,615
Mayo County Council,64570E,Our Lady's Secondary School,Belmullet,Co Mayo,,,09781157,MR. PADRAIC M STAUNTON,CATHOLIC,Mixed,No subjects taught through Irish,143,145,288
Mayo County Council,64580H,St. Geralds College,Newport Road,Castlebar,Co. Mayo,,0949021383,MR. JOHN J BURKE,CATHOLIC,Boys,No subjects taught through Irish,,547,547
Mayo County Council,64590K,St Joseph's Secondary School,Castlebar,Co Mayo,,,0949021406,MRS. MARIE HUGHES-MACCABE,CATHOLIC,Girls,No subjects taught through Irish,364,,364
Mayo County Council,64600K,St Josephs Secondary School,Charlestown,Co. Mayo,,,0949254211,Austin Egan,CATHOLIC,Mixed,No subjects taught through Irish,107,114,221
Mayo County Council,64610N,Coláiste Cholmáin,Claremorris,Co Mayo,,,0949371442,MR. JAMES FINN,CATHOLIC,Boys,No subjects taught through Irish,,379,379
Mayo County Council,64620Q,Mount St Michael,Convent of Mercy,Claremorris,Co Mayo,,0949371474,MRS. FIONNGHUALA KING,CATHOLIC,Girls,No subjects taught through Irish,471,,471
Mayo County Council,64630T,Jesus & Mary Secondary School,Gortnor Abbey,Crossmolina,Co Mayo,,09631597,MRS. PATRICIA MELVIN,CATHOLIC,Mixed,No subjects taught through Irish,220,208,428
Mayo County Council,64640W,St Joseph's Secondary School,Foxford,Co Mayo,,,0949256145,MS. EILEEN THERESA O'BRIEN,CATHOLIC,Mixed,No subjects taught through Irish,166,202,368
Mayo County Council,64660F,Sancta Maria College,Louisburgh,Co Mayo,,,09866342,MRS. PAULINE MORAN,CATHOLIC,Mixed,No subjects taught through Irish,154,156,310
Mayo County Council,64690O,Scoil Muire Agus Padraig,Swinford,Co Mayo,,,0949251481,MRS. MARY QUINN,CATHOLIC,Mixed,No subjects taught through Irish,191,199,390
Mayo County Council,64691Q,Coláiste Mhuire,Tuar Mhic Éadaigh,Co Mhaigh Eo,,,0949544107,MR. DECLAN PRENDERGAST,CATHOLIC,Mixed,All pupils taught all subjects through Irish,61,74,135
Mayo County Council,64700O,Rice College,Castlebar Road,Westport,Co Mayo,,09825698,MR. MICHAEL JOHN RABBETTE,CATHOLIC,Boys,No subjects taught through Irish,,526,526
Mayo County Council,64710R,Sacred Heart School,Westport,Co Mayo,,,09826268,MRS. ANNE MURPHY,CATHOLIC,Girls,No subjects taught through Irish,548,,548
Mayo County Council,72020L,Moyne College,Ballina,Co Mayo,,,09621472,Siobhan Towey,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,81,130,211
Mayo County Council,72050U,St. Brendan's College,Belmullet,Co. Mayo,,,09781437,Michael Walshe (Acting),INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,200,178,378
Mayo County Council,72100J,St. Tiernan's College,Crossmolina,Ballina,Co Mayo,,09631236,Mr Conor O'Reilly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,75,129,204
Mayo County Council,72130S,St. Patrick's College,Lacken Cross,Killala,Co Mayo,,09634177,John Killeen,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,91,95,186
Mayo County Council,72140V,Colaiste Chomain,Rossport,Ballina,Co Mayo,,09788940,Jason Ó Mongáin,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,19,59,78
Mayo County Council,72160E,Carrowbeg College,Westport,Co Mayo,,,09825241,Michael Murphy,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,60,69,129
Mayo County Council,76060U,Davitt College,Springfield,Castlebar,,,0949023060,Bernadette Rowland,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,588,368,956
Mayo County Council,76150V,Coláiste Pobail Acla,Achill Sound,Westport,Co. Mayo,,09845139,Barry Kilgannon,MULTI DENOMINATIONAL,Mixed,No subjects taught through Irish,115,145,260
Mayo County Council,91461C,Ballyhaunis Community School,Knock Road,Ballyhaunis,Co.Mayo,,0949630235,MR. PAT MCHUGH,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,254,326,580
Mayo County Council,91462E,Ballinrobe Community School,Convent Road,Ballinrobe,Co Mayo,,0949541777,MS. MICHAEL BRETT,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,243,294,537
Mayo County Council,91494R,St Louis Community School,Kiltimagh,Co Mayo,,,0949381228,MR. CAHIL DOHERTY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,331,288,619
Meath County Council,64350N,St Patrick's Classical School,Moatlands,Navan,Co Meath,,0469023772,MR. COLM O'ROURKE,CATHOLIC,Boys,No subjects taught through Irish,,879,879
Meath County Council,64360Q,"St. Joseph's Secondary School, Navan,",Mercy Convent,Navan,Co Meath,,0469021830,MS. MARY MULLIGAN,CATHOLIC,Girls,No subjects taught through Irish,596,,596
Meath County Council,64370T,Loreto Secondary School,St Michaels,Navan,Co Meath,,0469023830,SR. ELAINE TROY,CATHOLIC,Girls,No subjects taught through Irish,774,,774
Meath County Council,64410F,Eureka Secondary School,Kells,Co. Meath,,,0469240132,MS. CAROLINE O'REILLY,CATHOLIC,Mixed,No subjects taught through Irish,729,9,738
Meath County Council,64420I,Franciscan College,Gormanstown,Co Meath,,,018412203,MR. DERMOT LAVIN,CATHOLIC,Mixed,No subjects taught through Irish,36,275,311
Meath County Council,64450R,Scoil Mhuire,Convent Of Mercy,Trim,Co Meath,,0469431439,MS. JACQUELINE MAHER,CATHOLIC,Girls,No subjects taught through Irish,592,,592
Meath County Council,71950F,St Peter's College,Dunboyne,Co. Meath,,,018252552,Mr. Eamon Gaffney,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,720,663,1383
Meath County Council,71960I,Community College Dunshaughlin,Dunshaughlin,Co Meath,,,018259137,Padraig Browne,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,372,535,907
Meath County Council,71970L,St. Fintinas Post Primary School,Longwood,Enfield,Co Meath,,0469555018,Mr Thomas Stack,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,100,108,208
Meath County Council,71980O,O'Carolan College,Nobber,Co Meath,,,0469052177,Brian Goggins,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,218,323,541
Meath County Council,71990R,St Oliver Post Primary,Oldcastle,Co. Meath,,,0498541180,Mr Martin O'Reilly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,251,262,513
Meath County Council,71991T,Coláiste Pobail Rath Cairn,Ráth Cairn,Athboy,Co Meath,,0469432722,Macdara O' Duíllearga,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,64,65,129
Meath County Council,72010I,Beaufort College,Trim Rd,Navan,Co Meath,,0469029550,John Condon,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,163,389,552
Meath County Council,76088T,Ratoath College,Jamestown,Ratoath,Co. Meath,,018254102,Máire Ní Bhróithe,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,383,462,845
Meath County Council,76103M,Colaiste na hInse,C/O Neptune Hotel,Bettystown/Laytown,CO Meath,,0419813335,A McCarrick/H Loftus,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,162,282,444
Meath County Council,91456J,St Ciaran's Community School,Navan Rd,Kells,Co Meath,,0469241551,MR. F LAFFERTY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,104,552,656
Meath County Council,91495T,Ashbourne Community School,Deerpark,Ashbourne,Co Meath,,018353066,MS. AINE O'SULLIVAN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,451,556,1007
Meath County Council,91508C,Boyne Community School,Trim,Co. Meath,,,0469481654,MS. ELIZABETH CAHILL,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,135,583,718
Meath County Council,91517D,ATHBOY COMMUNITY SCHOOL,ATHBOY,CO MEATH,,,0469487894,UAS. ANTANE DUINNSHLEIBHE,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,207,301,508
Monaghan County Council,64750G,Patrician High School,Carrickmacross,Co. Monaghan,,,0429661525,MR. PATRICK DUFFY,CATHOLIC,Boys,No subjects taught through Irish,,433,433
Monaghan County Council,64760J,St Louis Secondary School,Carrickmacross,Co. Monaghan,,,0429661587,MR. GERARD SHANKEY,CATHOLIC,Girls,No subjects taught through Irish,581,,581
Monaghan County Council,64770M,Our Lady's Secondary School,Castleblayney,Co. Monaghan,,,0429740351,MR. GERARD MC GUILL,CATHOLIC,Mixed,No subjects taught through Irish,369,309,678
Monaghan County Council,64810V,St. Macartan's College,Monaghan,Co. Monaghan,,,04781642,MR. RAYMOND MC HUGH,CATHOLIC,Boys,No subjects taught through Irish,,682,682
Monaghan County Council,64820B,St. Louis Secondary School,Monaghan,Co. Monaghan,,,04781422,MISS VERONICA O'BRIEN,CATHOLIC,Girls,No subjects taught through Irish,498,,498
Monaghan County Council,64830E,Monaghan Collegiate School,Corlatt,Monaghan,Co Monaghan,,04782060,MR. JOHNSTON TREVOR REID,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,110,132,242
Monaghan County Council,72170H,Ballybay Community College,Ballybay,Co Monaghan,,,0429741093,Moyah Lynch,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,132,145,277
Monaghan County Council,72171J,Largy College,Analore Rd,Clones,Co Monaghan,,04751132,Mr S.McCaul,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,226,241,467
Monaghan County Council,72180K,Inver College,Carrickmacross,Co Monaghan,,,0429661282,Mr. Paddy Comiskey,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,217,290,507
Monaghan County Council,72190N,Castleblayney College,Dublin Road,Castleblayney,Co Monaghan,,0429740066,Mr. Gerard Hand,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,140,166,306
Monaghan County Council,72210Q,Beech Hill College,Monaghan,Co. Monaghan,,,04781200,Ms Martha Williamson Hunter,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,541,421,962
Monaghan County Council,76091I,Coláiste Oiriall,Tir Chianáin,Muineachán,Co Mhuineacháin,,04772344,Brendan O Dufaigh,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,139,92,231
Offaly County Council,65582Q,St Mary's Secondary School,Edenderry,Co Offaly,,,0469731457,Mrs Bernadette O' Neill,CATHOLIC,Mixed,No subjects taught through Irish,431,386,817
Offaly County Council,65610S,Colaiste Choilm,O'Moore Street,Tulach Mhor,Co. Offaly,,0579351756,MR. BERNARD COLIN RODDY,CATHOLIC,Boys,No subjects taught through Irish,,549,549
Offaly County Council,65620V,Sacred Heart Secondary School,Daingean Road,Tullamore,Co. Offaly,,0579321747,MRS. SHEILA MC MANAMLY,CATHOLIC,Girls,No subjects taught through Irish,691,,691
Offaly County Council,65630B,Killina Presentation Secondary School,Rahan,Tullamore,Co Offaly,,0579355706,MR. MICHAEL K NOLAN,CATHOLIC,Mixed,No subjects taught through Irish,232,253,485
Offaly County Council,72520I,Coláiste Naomh Cormac,Kilcormac,Co Offaly,,,0579135048,Eileen Mullaney,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,105,132,237
Offaly County Council,72530L,Ard Scoil Chiarain Naofa,Frederick St.,Clara,Co. Offaly,,0579331231,Mr Roger Geagan,INTER DENOMINATIONAL,Mixed,Some pupils taught some subjects through Irish,110,108,218
Offaly County Council,72540O,Oaklands Community College,Sr. Senan Avenue,Edenderry,Co. Offaly,,0469731573,Gerard Connolly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,173,248,421
Offaly County Council,72560U,Tullamore College,Riverside,Tullamore,Co. Offaly,,0579321677,Edward McEvoy,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,189,338,527
Offaly County Council,76105Q,Colaiste Na Sionna,Banagher,Banagher,,,0579151323,Mr Paddy Scales,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,222,256,478
Offaly County Council,91491L,St.Brendan's Community School,Birr,Co Offaly,,,0579120510,MRS. MARY R LOUGHNANE,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,433,444,877
Offaly County Council,91515W,GALLEN COMMUNITY SCHOOL,FERBANE,CO OFFALY,,,0906453600,MR. JOHN IRWIN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,197,193,390
Roscommon County Council,65080P,C.B.S. Roscommon,Abbeytown,Roscommon,Co. Roscommon,,0906626496,MRS. JOSEPHINE CONNAUGHTON,CATHOLIC,Boys,No subjects taught through Irish,,380,380
Roscommon County Council,65090S,Scoil Muire gan Smal,Convent of Mercy,Roscommon Town,,,0906626321,MS. MIRIAM HUNT,CATHOLIC,Girls,No subjects taught through Irish,567,,567
Roscommon County Council,65100S,Scoil Mhuire,Strokestown,Co Roscommon,,,0719633223,MR. EAMON CORRIGAN,CATHOLIC,Mixed,No subjects taught through Irish,209,223,432
Roscommon County Council,68067P,St Nathy's College,Ballaghaderreen,Co Roscommon,,,0949860010,FR. THOMAS JOSEPH NOEL SURLIS,CATHOLIC,Mixed,No subjects taught through Irish,288,306,594
Roscommon County Council,72280O,Elphin Community College,Elphin,Castlerea,Co Roscommon,,0719635031,Mrs Marie Lee,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,52,85,137
Roscommon County Council,72290R,Roscommon Community School,Lisnamult,Roscommon,Co. Roscommon,,0906626670,Mr. Frank Chambers,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,49,113,162
Roscommon County Council,76072E,Abbey Community College,Boyle,Co Roscommon,,,0719664646,Mr Sean Tansey,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,197,217,414
Roscommon County Council,91493P,Castlerea Community School,Castlerea,Co. Roscommon,,,0949620177,MS. MARY MULLARKEY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,254,227,481
Sligo County Council,65130E,St Marys College,Ballysadare,Co Sligo,,,0719167579,MRS. SUZANNE THORN,CATHOLIC,Mixed,No subjects taught through Irish,120,202,322
Sligo County Council,65140H,Colaiste Mhuire,Ballymote,Co Sligo,,,0719183086,Mr Gerry Kielty,CATHOLIC,Mixed,No subjects taught through Irish,130,133,263
Sligo County Council,65150K,Jesus & Mary Secondary School,Enniscrone,Co Sligo,,,09636496,SR. MARY KELLY,CATHOLIC,Mixed,No subjects taught through Irish,234,179,413
Sligo County Council,65170Q,Summerhill College,Sligo,Co. Sligo,,,0719160311,MR. THOMAS MCMANUS,CATHOLIC,Boys,No subjects taught through Irish,,715,715
Sligo County Council,65180T,Ursuline College,Finisklin,Sligo,,,0719161653,SR. MAIREAD O'REGAN,CATHOLIC,Girls,No subjects taught through Irish,707,,707
Sligo County Council,65181V,Mercy College,Sligo,Co. Sligo,,,0719143476,MS. COLETTE ANNE O'HAGAN,CATHOLIC,Mixed,No subjects taught through Irish,342,39,381
Sligo County Council,65190W,Sligo Grammar School,The Mall,Sligo,,,0719145010,MR. WYNN OLIVER,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,183,263,446
Sligo County Council,72300R,Corran College,Ballymote,Co Sligo,,,0719183285,John McGovern,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,52,82,134
Sligo County Council,72310U,Coola Post Primary School,Riverstown,Via Boyle,Co Sligo,,0719165365,Mr Damien McGoldrick,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,178,224,402
Sligo County Council,72320A,Coláiste Iascaigh,Easkey,Co Sligo,,,09649021,David McGuinness,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,54,74,128
Sligo County Council,72330D,Grange Vocational School,Grange,Co Sligo,,,0719163514,David Downey,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,41,111,152
Sligo County Council,72350J,North Connaught College,Tubbercurry,Co Sligo,,,0719185035,Mary Madden,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,137,30,167
Sligo County Council,72360M,Ballinode College,Ballinode,Sligo,,,0719145480,Mr. Joe Carolan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,462,362,824
Sligo County Council,91512Q,St Attracta's Community School,Tubbercurry,Co. Sligo,,,0719120814,MR. DAVID JOHN MC EVOY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,289,291,580
South Dublin County Council,60121B,Moyle Park College,Clondalkin,Dublin 22,,,014574837,MR. AIDEN CLARKE,CATHOLIC,Boys,No subjects taught through Irish,,645,645
South Dublin County Council,60122D,Coláiste Bríde,New Road,Clondalkin,Dublin 22,,014591158,MISS MARIE THERESE KILMARTIN,CATHOLIC,Girls,No subjects taught through Irish,916,,916
South Dublin County Council,60263V,St Josephs College,Lucan,Co Dublin,,,016281160,MS. SIOBHAN NI DHUBHGHAILL,CATHOLIC,Girls,No subjects taught through Irish,877,,877
South Dublin County Council,60264A,Coláiste Phádraig CBS,Roselawn,Lucan,Co Dublin,,016282299,MR. BRIAN THOMAS MURTAGH,CATHOLIC,Boys,No subjects taught through Irish,,712,712
South Dublin County Council,60272W,The Kings Hospital,Palmerstown,Dublin 20,,,016436500,MR. MICHAEL DAVID HALL,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,312,374,686
South Dublin County Council,60320H,St Columba's College,Whitechurch,Dublin 16,,,014906791,DR. LINDSAY HASLETT,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,133,151,284
South Dublin County Council,60321J,Rockbrook Park School,Edmondstown Road,Rathfarnham,Dublin 16,,014933204,MR. MARK HAMILTON,CATHOLIC,Boys,No subjects taught through Irish,,152,152
South Dublin County Council,60340N,Loreto High School,Beaufort,Grange Rd,Rathfarnham,Dublin 14,014933251,MS. MARGARET O DONOGHUE,CATHOLIC,Girls,No subjects taught through Irish,614,,614
South Dublin County Council,60341P,Sancta Maria College,Ballyroan,Rathfarnham,Dublin 16,,014934887,MISS GERALDINE KENNEDY,CATHOLIC,Girls,No subjects taught through Irish,514,,514
South Dublin County Council,60342R,Colaiste Eanna,Ballyroan,Dublin16,,,014931767,MR. BRENDAN MC CAULEY,CATHOLIC,Boys,No subjects taught through Irish,,573,573
South Dublin County Council,60561G,St Michaels College,Ailesbury Road,Dublin 4,,,012189400,MR. T M KELLEHER,CATHOLIC,Boys,No subjects taught through Irish,,609,609
South Dublin County Council,60562I,Templeogue College,Templeville Road,Dublin 6W,,,014905788,MISS AOIFE ANN-MARIE O DONNELL,CATHOLIC,Boys,No subjects taught through Irish,,672,672
South Dublin County Council,60860Q,Our Ladys School,Templeogue Rd,Terenure,Dublin 6W,,014903241,MISS G A FRIEL,CATHOLIC,Girls,No subjects taught through Irish,748,,748
South Dublin County Council,60902G,St Pauls Secondary School,Greenhills,Dublin 12,,,014505682,MS. MAJELLA DEASY,CATHOLIC,Girls,No subjects taught through Irish,680,,680
South Dublin County Council,70021D,Coláiste de hÍde,Br Thish Motháin Thuaidh,Br Chaisleáin Thigh Mótháin,Tamhlacht,Baile Atha Cliath 24,014513984,Feargal Ó Giolláin,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,147,153,300
South Dublin County Council,70040H,Deansrath Community College,New Nangor Road,Clondalkin,Dublin 22,,014574144,Ms Maria A Shannon,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,235,220,455
